	differentiation	differentiation	differentiation	differentiation	lower	lower	lower	lower	upper	upper	upper	upper	upper_vs_lower	upper_vs_lower	upper_vs_lower	upper_vs_lower
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1
	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
AKAP1	0.4114642080489934	-5.778783011134302	5	5	0.10825972143821798	12.670941619372549	4	4	0.36829729255679833	1.2844374223751884	4	4	0.3460311401410645	-9.815244722617598	4	4
AKAP10	0.1345444333302132	-0.05680988771449217	5	5	0.9651679075663795	8.604706754872263	4	4	0.19274431982412155	-6.663117259419006	4	4	0.22078407223331742	-13.6965645399115	4	4
AKAP11	0.9805364678465318	-2.2688045020948873	4	4	0.5780639637403786	2.4581592867297117	3	3	0.7779547855613949	-2.705099630941102	4	4	0.5794599973297945	-1.0546164092299493	2	2
AKAP12	0.9029089903867694	-9.380360096834535	10	10	0.6917162292684436	10.654560899313774	7	7	0.316993318200101	-10.477360073575369	7	7	0.1237003872799523	-11.087658647015205	5	5
AKAP13	0.2613983340060001	0.7269583409691286	5	5	0.49682726321530546	1.450615291888037	5	5	0.7252841894979406	-2.146065585805614	5	5	0.21239151851507987	0.5706968059650143	4	4
AKAP14	0.23589356297761477	-1.7258806071421997	5	5	0.3642197826147223	1.549286591682116	4	4	0.45281526161029506	1.083931713242617	5	5	0.2250684015537232	0.3476949205525379	4	4
AKAP3	0.6757697936584215	-8.623291448377847	10	10	0.5825585145207126	8.491951547789979	5	5	0.7986230392967869	-1.2318010973619973	4	4	0.8522831759328808	-6.9145455971005205	4	4
AKAP4	0.09235906627465316	-8.732497460878468	5	5	0.37339712902190647	5.757688342155821	2	2	0.3779046906395127	3.6654406447235677	4	4	0.8650501184450475	-1.0168969956919274	3	3
AKAP5	0.2748411787025694	-6.1611302983459915	5	5	0.18300983774488477	-1.4170641633509036	3	3	0.06849831253360239	4.880901043251161	4	4	0.0023550770860028872	4.758360817191638	4	4
AKAP6	0.12662931077440837	-8.994081872495354	5	5	0.6040083502419533	-0.9375411601972523	1	1	0.6261549428752811	0.851288455303937	1	1	0.4119522845987731	3.3600890898809537	1	1
AKAP7	0.19452402881540354	1.177389072848172	5	5	0.2514186754143072	9.4533007064426	5	5	0.8983200688437224	-0.9799465059236047	5	5	0.32411475057421657	-9.362104597454325	5	5
AKAP8	0.5195824618044114	-2.1524204276454815	5	5	0.8880969855271847	5.848192695995809	4	4	0.8263993062385011	-2.9584798032001687	4	4	0.5217971521146411	-4.4096342987811985	3	3
AKAP8L	0.7770953165698574	-5.422361133516195	5	5	0.5000252127677114	8.907117227602797	4	4	0.946470762972681	-2.7060765484024354	4	4	0.3882370910564902	-7.189840223994565	3	3
