	Diff	Lower	T0	Upper
	Rep1	Rep1	Rep1	Rep1
sgId				
ADAMTS5_+_28339363.23-P1P2	2337	3	2274	2
ADAMTS5_-_28338950.23-P1P2	728	4903	1126	0
ADAMTS5_-_28339372.23-P1P2	3302	6	2143	3199
ADAMTS5_-_28339421.23-P1P2	10	5903	2119	3197
ADCK1_+_78266506.23-P1P2	2743	5726	1150	4
ADCK1_-_78266512.23-P1P2	634	1	1721	1832
ADCK1_-_78266523.23-P1P2	1594	1	1186	3
ADCK1_-_78266828.23-P1P2	2597	2895	777	2
ADCK1_-_78266900.23-P1P2	2165	5461	1352	2
ADCK2_+_140372748.23-P1P2	887	0	957	1
ADCK2_+_140373084.23-P1P2	1327	2	2310	2668
ADCK2_+_140373152.23-P1P2	4227	5036	2009	2013
ADCK2_-_140373160.23-P1P2	2920	1	2195	1
ADCK2_-_140373404.23-P1P2	3	1743	845	4179
ADCK3_+_227128242.23-P1P2	3	3	2173	5015
ADCK3_+_227128400.23-P1P2	2240	3341	3117	3240
ADCK3_-_227128046.23-P1P2	2879	2802	645	1457
ADCK3_-_227128055.23-P1P2	2853	4	1535	4468
ADCK3_-_227128078.23-P1P2	4	4	1700	1313
ADCK4_+_41222752.23-P1P2	1534	1	220	0
ADCK4_-_41222351.23-P1P2	1741	1	1141	0
ADCK4_-_41222709.23-P1P2	0	0	587	0
ADCK4_-_41222769.23-P1P2	0	0	703	0
ADCK4_-_41222791.23-P1P2	2479	2	2717	5175
ADCK5_+_145597793.23-P1P2	0	0	0	0
ADCK5_-_145597191.23-P1P2	626	0	420	0
ADCK5_-_145597250.23-P1P2	764	0	446	0
ADCK5_-_145597781.23-P1P2	2490	1212	2362	1637
ADCK5_-_145597789.23-P1P2	6	4929	607	1704
ADC_+_33546832.23-P1P2	3525	3	688	2
ADC_+_33546850.23-P1P2	1657	5067	605	1
ADC_+_33546977.23-P1P2	4	0	861	1228
ADC_-_33546826.23-P1P2	2095	3025	858	4
ADC_-_33546829.23-P1P2	0	0	348	0
ADH1B_+_100242040.23-P1P2	3	3097	461	3
ADH1B_+_100242511.23-P1P2	5	3	1533	2003
ADH1B_-_100242120.23-P1P2	0	0	178	0
ADH1B_-_100242280.23-P1P2	1	0	359	0
ADH1B_-_100242333.23-P1P2	1	0	513	0
ADH1C_+_100273655.23-P1P2	1835	2250	419	420
ADH1C_-_100273471.23-P1P2	0	0	92	0
ADH1C_-_100273518.23-P1P2	0	0	382	0
ADH1C_-_100273879.23-P1P2	2942	1	730	2823
ADH1C_-_100273923.23-P1P2	4484	3	1727	2030
ADH4_+_100065429.23-P1P2	8	6383	991	2
ADH4_+_100065433.23-P1P2	1391	1	855	1
ADH4_+_100065444.23-P1P2	1090	5107	198	5
ADH4_+_100065450.23-P1P2	0	0	0	0
ADH4_-_100065227.23-P1P2	2	0	366	2187
ADH5_+_100009684.23-P1P2	2	2115	808	2
ADH5_+_100009798.23-P1P2	1	1	362	1063
ADH5_+_100009821.23-P1P2	1333	1	649	1724
ADH5_+_100009838.23-P1P2	1592	0	3742	0
ADH5_-_100009831.23-P1P2	5	1	2145	0
ADK_+_75911404.23-P2	1	0	1386	1
ADK_+_75911444.23-P2	4	1	553	1754
ADK_+_75936517.23-P1	2540	6	1986	2138
ADK_+_75936538.23-P1	4152	0	1377	2
ADK_+_75936570.23-P1	2020	4319	1498	1475
ADK_+_75936748.23-P1	0	0	203	0
ADK_-_75911021.23-P2	1	2439	855	0
ADK_-_75911025.23-P2	4	2108	365	0
ADK_-_75911437.23-P2	684	1	882	2
ADK_-_75936578.23-P1	0	0	583	1
ADORA1_+_203096891.23-P1P2	4282	1	1232	7
ADORA1_+_203097450.23-P1P2	3959	4	2098	2163
ADORA1_+_203097472.23-P1P2	2753	4470	2145	2420
ADORA1_+_203097506.23-P1P2	5	5237	1021	1
ADORA1_-_203096974.23-P1P2	1	3	610	2818
ADORA2A_+_24820308.23-P1P2	2377	5	2458	3654
ADORA2A_-_24819888.23-P1P2	1929	1987	1502	2
ADORA2A_-_24819903.23-P1P2	2	3922	1755	1716
ADORA2A_-_24819947.23-P1P2	1620	4578	1392	1588
ADORA2A_-_24820281.23-P1P2	3	4	864	3921
ADORA2B_+_15848686.23-P1P2	1645	3	253	2947
ADORA2B_+_15848965.23-P1P2	1	1	1	1703
ADORA2B_-_15848659.23-P1P2	5024	2106	2611	1
ADORA2B_-_15848791.23-P1P2	0	0	296	0
ADORA2B_-_15848949.23-P1P2	1587	2	1205	1687
ADORA3_+_112031013.23-P1	6	7364	814	3
ADORA3_+_112031386.23-P1	29	4	1775	1815
ADORA3_+_112031407.23-P1	1	0	1209	0
ADORA3_+_112031411.23-P1	856	0	817	0
ADORA3_+_112031418.23-P1	1314	2	1459	840
ADORA3_+_112045890.23-P2	1	0	867	0
ADORA3_+_112046055.23-P2	1580	3	348	1803
ADORA3_+_112046115.23-P2	603	0	639	0
ADORA3_+_112046284.23-P2	1	0	841	0
ADORA3_-_112046251.23-P2	1	0	575	341
ADRA1A_+_26724406.23-P1P2	5061	2890	2276	4005
ADRA1A_-_26724311.23-P1P2	1362	1	1557	3492
ADRA1A_-_26724340.23-P1P2	367	0	519	1
