Gene	sgRNA	Lower|beta	Lower|z	Lower|p-value	Lower|fdr	Lower|wald-p-value	Lower|wald-fdr	Upper|beta	Upper|z	Upper|p-value	Upper|fdr	Upper|wald-p-value	Upper|wald-fdr
SERPINB3	2	-2.4787	-3.0917	0.24821	0.96267	0.00199	0.12338	-3.8343	-4.7669	0.24328	0.95606	1.8704e-06	6.947e-05
SERPINB6	4	3.703	0.19193	0.40099	0.96267	0.8478	0.99608	1.7868	0.09272	0.50582	0.9943	0.92613	1
SERPINC1	2	0.12512	1.4793	0.82751	0.99515	0.13906	0.52303	0.007189	0.083801	0.50403	0.9943	0.93321	1
SERPIND1	3	-2.2836	-1.2359	0.24149	0.96267	0.21649	0.59705	1.3256	0.74822	0.7948	0.9943	0.45433	1
SFTPA1	4	-1.8092	-0.58159	0.26165	0.96267	0.56084	0.99608	1.9793	0.69314	0.40771	0.98378	0.48822	1
SFTPD	3	0.14165	1.468	0.65502	0.99511	0.14209	0.52303	0.0070446	0.071984	0.39785	0.98251	0.94261	1
SGK1	4	2.4308	0.30238	0.63351	0.99511	0.76236	0.99608	2.4861	0.31181	0.17249	0.93333	0.75518	1
SGK223	4	2.11	0.31507	0.70878	0.99511	0.75271	0.99608	2.4253	0.36491	0.19803	0.93333	0.71518	1
SGK2	2	4.0417	0.11216	0.45072	0.96267	0.9107	0.99608	0.98266	0.027259	0.95968	0.99767	0.97825	1
SGK3	10	0.36667	2.072	0.83602	0.99764	0.038262	0.46048	0.046205	0.25825	0.51792	0.9943	0.79622	1
SGK494	2	4.0238	0.091976	0.45609	0.96267	0.92672	0.99608	0.77677	0.01774	0.96416	0.99909	0.98585	1
SGPL1	4	3.5765	0.19944	0.43369	0.96267	0.84192	0.99608	2.0878	0.11652	0.34364	0.97823	0.90724	1
SGPP1	3	0.42703	1.2042	0.94937	0.99765	0.2285	0.60412	0.17398	0.47773	0.82796	0.9943	0.63284	1
SH3KBP1	4	0.16761	1.4425	0.53315	0.96267	0.14916	0.52303	0.016799	0.1426	0.43683	0.98521	0.88661	1
SHARPIN	5	0.15593	1.7101	0.35932	0.96267	0.087256	0.52303	0.021684	0.23448	0.40995	0.98391	0.81461	1
SHMT1	5	0.16996	2.0134	0.3983	0.96267	0.044074	0.47176	0.023652	0.27633	0.44892	0.98525	0.78229	1
SHMT2	2	3.9785	0.097112	0.46998	0.96267	0.92264	0.99608	2.0307	0.049572	0.57213	0.9943	0.96046	1
SHPK	3	-1.9605	-0.3932	0.35036	0.96267	0.69417	0.99608	2.4081	0.49131	0.27643	0.97823	0.62321	1
SIGLEC1	3	0.12947	1.4776	0.58557	0.98271	0.13952	0.52303	0.0075711	0.085169	0.40905	0.98384	0.93213	1
SIGLEC7	4	-2.9404	-1.5688	0.038082	0.94231	0.11669	0.52303	-0.63158	-0.45649	0.12321	0.92557	0.64804	1
SIGMAR1	4	0.20185	1.4174	0.64023	0.99511	0.15637	0.52303	0.024618	0.17061	0.56183	0.9943	0.86453	1
SIK1	4	0.14362	1.4663	0.46192	0.96267	0.14257	0.52303	0.01375	0.1384	0.38799	0.98251	0.88993	1
SIK2	1	5.5708	0.021457	0.25672	0.96267	0.98288	0.99608	2.8724	0.011064	0.35708	0.97823	0.99117	1
SIK3	2	-2.2315	-2.5909	0.39337	0.96267	0.0095718	0.28871	-4.2682	-4.9558	0.16219	0.93333	7.2016e-07	3.0328e-05
