	Diff	Lower	Upper
	Rep1	Rep1	Rep1
sgId			
AKAP10_+_19881129.23-P1P2	5281	4189	1482
AKAP11_+_42846358.23-P1P2	2144	1	2
AKAP11_+_42846376.23-P1P2	800	3320	6712
AKAP11_+_42846479.23-P1P2	0	0	0
AKAP11_+_42846688.23-P1P2	793	0	1
AKAP11_-_42846604.23-P1P2	0	0	0
AKAP12_+_151561539.23-P1	1262	625	799
AKAP12_+_151646838.23-P2	0	0	0
AKAP12_+_151646850.23-P2	280	5498	2010
AKAP12_+_151647266.23-P2	2619	1	1
AKAP12_-_151561572.23-P1	2478	3444	3509
AKAP12_-_151561599.23-P1	2592	1679	1
AKAP12_-_151561609.23-P1	0	0	0
AKAP12_-_151562006.23-P1	1213	0	1
AKAP12_-_151646835.23-P2	3428	7729	3143
AKAP12_-_151646844.23-P2	0	0	0
