	lower	lower	lower	lower	upper	upper	upper	upper
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1
	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
gene								
CACNA2D2	0.2392694792854142	2.2969467390874185	5	5	0.3414727951104407	-1.4279507349123477	5	5
CACNB1	0.13605815472013652	10.145485127040102	5	5	1.0	-4.192018750572944	5	5
CACNB2	0.7240551500455747	5.8104633703956665	5	5	0.5828815238257092	-6.264097830612402	5	5
CACNB3	0.36267353062655183	10.701170063669744	8	8	0.814758071318705	-7.8211389189012435	8	8
CACNB4	0.4667133145555178	-0.7788512761314301	2	2	0.13496498249745634	1.5530469555182855	2	2
CACNG1	0.49182543618102414	7.060279855951527	4	4	0.4381049895026802	-9.005442445492172	4	4
CALM1	0.14890632379823837	11.088563961789044	1	1	0.7558861115233189	0.5407987742802722	1	1
CALM2	0.6555295613905873	5.091703078273172	2	2	0.6782962241406417	-3.8900940592966293	2	2
CALM3	0.47557743448155543	-0.5276540327742051	3	3	0.7890550867689189	-2.3450232047551594	3	3
CALR	0.6555295613905873	4.415500757326736	2	2	0.3765008908201064	0.8359149402178918	2	2
CALY	0.5671273335991869	9.851446823930575	8	8	0.4002651796151938	-9.777036416165904	8	8
CAMK1	0.7791226096073944	0.036415320344772795	4	4	0.5271149799847772	-2.0142721160574797	4	4
CAMK1D	0.1851883080751462	6.8394587759590975	3	3	0.592597532142719	-5.330156954140096	3	3
CAMK1G	0.9812684957937546	-0.009545187614109274	2	2	0.07310054942252359	1.9497515767179854	2	2
CAMK2A			0	0			0	0
CAMK2B	0.4477676677875029	5.190039299037823	2	2	0.8265455972393922	-3.44173685900706	2	2
CAMK2D	0.9255162512977373	2.6120580722667013	4	4	0.951763803111252	-5.20646728414299	4	4
CAMK2G	0.017723708552063025	-2.9451994463088518	2	2	0.10190695886310808	-9.352562475922372	2	2
CAMK2N1	0.8186217871680629	1.020664527205019	3	3	0.9289394330539544	-3.9598777929517475	3	3
CAMK4	0.23152947677641456	9.074216140466634	5	5	0.23537661798403475	1.3360128462528806	5	5
CAMKK1	0.4914818051850972	-0.7432942825540731	3	3	0.025781854012072496	2.3574475695393935	3	3
CAMKK2	0.19213031176159656	9.662619862846467	5	5	0.7611197519497541	-2.5123715184732944	5	5
CAMKV	0.9430074101262581	5.471532443492556	4	4	0.4578440662583241	-2.0825231307113277	4	4
